repetition_flag,possible_hallucination_flag,short_summary_bias_flag,overgeneralization_flag,context_loss_proxy_flag
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,True,False,False,True
True,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
True,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
False,True,False,False,True
